dediac	original_gold	max_gold	max_gold_alt
مع	مَعَ	مَعَ	
حكام	حُكَّامِ	حُكَّامِ	
الولايات	الْوِلَايَاتِ	الْوِلَايَاتِ	
إن	إِنَّ	إِنَّ	
الإصلاحات	الْإِصْلَاحَاتِ	الْإِصْلَاحَاتِ	
باتت	بَاتَتْ	بَاتَتْ	
ضرورية	ضَرُورِيَّةً	ضَرُورِيَّةً	
،	،	،	
وصوت	وَصَوْتُ	وَصَوْتُ	
الشعب	الشَّعْبِ	الشَّعْبِ	
يعبر	يُعَبِّرُ	يُعَبِّرُ	
بوضوح	بِوُضُوحٍ	بِوُضُوحٍ	
عن	عَنْ	عَنْ	
رغبته	رَغْبَتِهِ	رَغْبَتِهِ	
بالمضي	بِالْمُضِيِّ	بِالْمُضِيِّ	
قدما	قُدُمًا	قُدُمًا	
ورفضه	وَرَفْضِهِ	وَرَفْضِهِ	
للتوقف	لِلتَّوَقُّفِ	لِلتَّوَقُّفِ	
في	فِي	فِي	
الوضع	الْوَضْعِ	الْوَضْعِ	
الحالي	الْحَالِيِّ	الْحَالِيِّ	
،	،	،	
والسبيل	وَالسَّبِيلُ	وَالسَّبِيلُ	
في	فِي	فِي	
رأيها	رَأْيِهَا	رَأْيِهَا	
إجراء	إِجْرَاءُ	إِجْرَاءُ	
استفتاء	اسْتِفْتَاءٍ	اسْتِفْتَاءٍ	
يخول	يُخَوِّلُ	يُخَوِّلُ	
بانتخاب	بِانْتِخَابِ	بِانْتِخَابِ	
جمعية	جَمْعِيَّةٍ	جَمْعِيَّةٍ	
تأسيسية	تَأْسِيسِيَّةٍ	تَأْسِيسِيَّةٍ	
تتولى	تَتَوَلَّى	تَتَوَلَّى	
أمور	أُمُورَ	أُمُورَ	
الإصلاحات	الْإِصْلَاحَاتِ	الْإِصْلَاحَاتِ	
الضرورية	الضَّرُورِيَّةِ	الضَّرُورِيَّةِ	
.	.	.	
وحسب	وَحَسَبَ	وَحَسَبَ	
قولها	قَوْلِهَا	قَوْلِهَا	
فإن	فَإِنَّ	فَإِنَّ	
"	"	"	
الأصوات	الْأَصْوَاتَ	اَلْأَصْوَاتَ	
المنبعثة	الْمُنْبَعِثَةَ	الْمُنْبَعِثَةَ	
من	مِنْ	مِنَ	
الشارع	الشَّارِعِ	الشَّارِعِ	
تبلغنا	تُبْلِغُنَا	تُبْلِغُنَا	
أن	أَنَّ	أَنَّ	
الناس	النَّاسَ	النَّاسَ	
يريدون	يُرِيدُونَ	يُرِيدُونَ	
جودة	جَوْدَةَ	جَوْدَةَ	
الخدمات	الْخِدْمَاتِ	الْخِدْمَاتِ	الْخَدَمَاتِ
العمومية	الْعُمُومِيَّةِ	الْعُمُومِيَّةِ	
.	.	.	
يريدون	يُرِيدُونَ	يُرِيدُونَ	
آليات	آلِيَّاتٍ	آلِيَّاتٍ	
أكثر	أَكْثَرَ	أَكْثَرَ	
نجاعة	نَجَاعَةً	نَجَاعَةً	
لمقاومة	لِمُقَاوَمَةِ	لِمُقَاوَمَةِ	
الفساد	الْفَسَادِ	الْفَسَادِ	
ويتأكدون	وَيَتَأَكَّدُونَ	وَيَتَأَكَّدُونَ	
من	مِنْ	مِنْ	
حسن	حُسْنِ	حُسْنِ	
استعمال	اسْتِعْمَالِ	اسْتِعْمَالِ	
المال	الْمَالِ	الْمَالِ	
العام	الْعَامِّ	الْعَامِّ	
"	"	"	
.	.	.	
			
انطلقت	انْطَلَقَتْ	اِنْطَلَقَتِ	
الاحتجاجات	الِاحْتِجَاجَاتُ	الِاحْتِجَاجَاتُ	
في	فِي	فِي	
ساو	سَاوْ	سَاوْ	
باولو	بَاوْلُو	بَاوْلُو	
بسبب	بِسَبَبِ	بِسَبَبِ	
قرار	قَرَارِ	قَرَارِ	
رفع	رَفْعِ	رَفْعِ	
تعرفة	تَعْرِفَةِ	تَعْرِفَةِ	
المواصلات	الْمُوَاصَلَاتِ	الْمُوَاصَلَاتِ	
العامة	الْعَامَّةِ	الْعَامَّةِ	
،	،	،	
ثم	ثُمَّ	ثُمَّ	
انتشرت	انْتَشَرَتْ	انْتَشَرَتْ	
إلى	إِلَى	إِلَى	
كافة	كَافَّةِ	كَافَّةِ	
أنحاء	أَنْحَاءِ	أَنْحَاءِ	
البرازيل	الْبَرَازِيلِ	الْبَرَازِيلِ	
رغم	رَغْمَ	رَغْمَ	
تراجع	تَرَاجُعِ	تَرَاجُعِ	
سلطات	سُلُطَاتِ	سُلُطَاتِ	
ساو	سَاوْ	سَاوْ	
باولو	بَاوْلُو	بَاوْلُو	
عن	عَنْ	عَنْ	
رفع	رَفْعِ	رَفْعِ	
تعرفة	تَعْرِفَةِ	تَعْرِفَةِ	
وسائل	وَسَائِلِ	وَسَائِلِ	
النقل	النَّقْلِ	النَّقْلِ	
وأضيفت	وَأُضِيفَتْ	وَأُضِيفَتْ	
إليها	إِلَيْهَا	إِلَيْهَا	
المطالبة	الْمُطَالَبَةُ	الْمُطَالَبَةُ	
بتحسين	بِتَحْسِينِ	بِتَحْسِينِ	
الخدمات	الْخِدْمَاتِ	الْخِدْمَاتِ	الْخَدَمَاتِ
الاجتماعية	الِاجْتِمَاعِيَّةِ	الِاجْتِمَاعِيَّةِ	
والصحية	وَالصِّحِّيَّةِ	وَالصِّحِّيَّةِ	
والتعليم	وَالتَّعْلِيمِ	وَالتَّعْلِيمِ	
والنقل	وَالنَّقْلِ	وَالنَّقْلِ	
وبزيادة	وَبِزِيَادَةِ	وَبِزِيَادَةِ	
الشفافية	الشَّفَافِيَّةِ	الشَّفَافِيَّةِ	
ومحاربة	وَمُحَارَبَةِ	وَمُحَارَبَةِ	
الفساد	الْفَسَادِ	الْفَسَادِ	
،	،	،	
وبلغت	وَبَلَغَتْ	وَبَلَغَتْ	
أوجها	أَوْجَهَا	أَوْجَهَا	
حين	حِينَ	حِينَ	
شارك	شَارَكَ	شَارَكَ	
أكثر	أَكْثَرُ	أَكْثَرُ	
من	مِنْ	مِنْ	
1.2	1.2	1.2	
مليون	مِلْيُونِ	مِلْيُونِ	
شخص	شَخْصٍ	شَخْصٍ	
في	فِي	فِي	
المظاهرات	الْمُظَاهَرَاتِ	الْمُظَاهَرَاتِ	
في	فِي	فِي	
عشرات	عَشَرَاتِ	عَشَرَاتِ	
المدن	الْمُدُنِ	الْمُدُنِ	
البرازيلية	الْبَرَازِيلِيَّةِ	الْبَرَازِيلِيَّةِ	
.	.	.	
			
وبعد	وَبَعْدَ	وَبَعْدَ	
أن	أَنْ	أَنْ	
أجرت	أَجْرَتْ	أَجْرَتْ	
روسيف	رُوسِيفْ	رُوسِيفْ	
اجتماعات	اجْتِمَاعَاتٍ	اجْتِمَاعَاتٍ	
مع	مَعَ	مَعَ	
قادة	قَادَةِ	قَادَةِ	
الاحتجاجات	الِاحْتِجَاجَاتِ	الِاحْتِجَاجَاتِ	
ووعدت	وَوَعَدَتْ	وَوَعَدَتْ	
بتحسين	بِتَحْسِينِ	بِتَحْسِينِ	
الخدمات	الْخِدْمَاتِ	الْخِدْمَاتِ	الْخَدَمَاتِ
ومكافحة	وَمُكَافَحَةِ	وَمُكَافَحَةِ	
الفساد	الْفَسَادِ	الْفَسَادِ	
خفت	خَفَّتْ	خَفَّتْ	
وتيرة	وَتِيرَةُ	وَتِيرَةُ	
الاحتجاجات	الِاحْتِجَاجَاتِ	الِاحْتِجَاجَاتِ	
لكنها	لَكِنَّهَا	لَكِنَّهَا	
لا	لَا	لَا	
تزال	تَزَالُ	تَزَالُ	
مستمرة	مُسْتَمِرَّةً	مُسْتَمِرَّةً	
،	،	،	
ومنها	وَمِنْهَا	وَمِنْهَا	
ما	مَا	مَا	
يطالب	يُطَالِبُ	يُطَالِبُ	
بمجانية	بِمَجَّانِيَّةِ	بِمَجَّانِيَّةِ	
وسائل	وَسَائِلِ	وَسَائِلِ	
النقل	النَّقْلِ	النَّقْلِ	
العام	الْعَامِّ	الْعَامِّ	
.	.	.	
			
بشار	بَشَّارُ	بَشَّارُ	
الأسد	الْأَسَدِ	الْأَسَدِ	
يصدر	يُصْدِرُ	يُصْدِرُ	
مرسومين	مَرْسُومَيْنِ	مَرْسُومَيْنِ	
بزيادة	بِزِيَادَةِ	بِزِيَادَةِ	
رواتب	رَوَاتِبِ	رَوَاتِبِ	
العاملين	الْعَامِلِينَ	الْعَامِلِينَ	
المدنيين	الْمَدَنِيِّينَ	الْمَدَنِيِّينَ	
والعسكريين	وَالْعَسْكَرِيِّينَ	وَالْعَسْكَرِيِّينَ	
ومعاشات	وَمَعَاشَاتِ	وَمَعَاشَاتِ	
المتقاعدين	الْمُتَقَاعِدِينَ	الْمُتَقَاعِدِينَ	
			
أصدر	أَصْدَرَ	أَصْدَرَ	
الرئيس	الرَّئِيسُ	الرَّئِيسُ	
السوري	السُّورِيُّ	السُّورِيُّ	
بشار	بَشَّارُ	بَشَّارُ	
الأسد	الْأَسَدِ	الْأَسَدِ	
صباح	صَبَاحَ	صَبَاحَ	
اليوم	الْيَوْمِ	الْيَوْمِ	
السبت	السَّبْتِ	السَّبْتِ	
مرسومين	مَرْسُومَيْنِ	مَرْسُومَيْنِ	
يقضيان	يَقْضِيَانِ	يَقْضِيَانِ	
بزيادة	بِزِيَادَةِ	بِزِيَادَةِ	
رواتب	رَوَاتِبِ	رَوَاتِبِ	
العاملين	الْعَامِلِينَ	الْعَامِلِينَ	
المدنيين	الْمَدَنِيِّينَ	الْمَدَنِيِّينَ	
والعسكريين	وَالْعَسْكَرِيِّينَ	وَالْعَسْكَرِيِّينَ	
في	فِي	فِي	
مؤسسات	مُؤَسَّسَاتِ	مُؤَسَّسَاتِ	
القطاع	الْقِطَاعِ	الْقِطَاعِ	
العام	الْعَامِّ	الْعَامِّ	
وبعض	وَبَعْضِ	وَبَعْضِ	
مؤسسات	مُؤَسَّسَاتِ	مُؤَسَّسَاتِ	
القطاع	الْقِطَاعِ	الْقِطَاعِ	
المشترك	الْمُشْتَرَكِ	الْمُشْتَرَكِ	
،	،	،	
وكذلك	وَكَذَلِكَ	وَكَذَٰلِكَ	
زيادة	زِيَادَةِ	زِيَادَةِ	
المعاشات	الْمَعَاشَاتِ	الْمَعَاشَاتِ	
التقاعدية	التَّقَاعُدِيَّةِ	التَّقَاعُدِيَّةِ	
.	.	.	
وتسري	وَتَسْرِي	وَتَسْرِي	
الزيادة	الزِّيَادَةُ	الزِّيَادَةُ	
من	مِنْ	مِنَ	
الشهر	الشَّهْرِ	الشَّهْرِ	
التالي	التَّالِي	التَّالِي	
لنشر	لِنَشْرِ	لِنَشْرِ	
المرسومين	الْمَرْسُومَيْنِ	الْمَرْسُومَيْنِ	
في	فِي	فِي	
الجريدة	الْجَرِيدَةِ	الْجَرِيدَةِ	
الرسمية	الرَّسْمِيَّةِ	الرَّسْمِيَّةِ	
.	.	.	
			
يتناول	يَتَنَاوَلُ	يَتَنَاوَلُ	
المرسوم	الْمَرْسُومُ	الْمَرْسُومُ	
التشريعي	التَّشْرِيعِيُّ	التَّشْرِيعِيُّ	
رقم	رَقْمُ	رَقْمُ	
38	38	38	
لعام	لِعَامِ	لِعَامِ	
2013	2013	2013	
بزيادة	بِزِيَادَةِ	بِزِيَادَةِ	
الأجور	الْأُجُورِ	الْأُجُورِ	
الشهرية	الشَّهْرِيَّةِ	الشَّهْرِيَّةِ	
للعاملين	لِلْعَامِلِينَ	لِلْعَامِلِينَ	
في	فِي	فِي	
مؤسسات	مُؤَسَّسَاتِ	مُؤَسَّسَاتِ	
القطاع	الْقِطَاعِ	الْقِطَاعِ	
العام	الْعَامِّ	الْعَامِّ	
من	مِنْ	مِنْ	
مدنيين	مَدَنِيِّينَ	مَدَنِيِّينَ	
وعسكريين	وَعَسْكَرِيِّينَ	وَعَسْكَرِيِّينَ	
،	،	،	
وكذلك	وَكَذَلِكَ	وَكَذَٰلِكَ	
العاملين	الْعَامِلِينَ	الْعَامِلِينَ	
في	فِي	فِي	
مؤسسات	مُؤَسَّسَاتِ	مُؤَسَّسَاتِ	
القطاع	الْقِطَاعِ	الْقِطَاعِ	
المشترك	الْمُشْتَرَكِ	الْمُشْتَرَكِ	
التي	الَّتِي	الَّتِي	
تملك	تَمْلِكُ	تَمْلِكُ	
الدولة	الدَّوْلَةُ	الدَّوْلَةُ	
75	75	75	
%	%	%	
من	مِنْ	مِنْ	
رأس	رَأْسِ	رَأْسِ	
مالها	مَالِهَا	مَالِهَا	
أو	أَوْ	أَوْ	
أكثر	أَكْثَرَ	أَكْثَرَ	
،	،	،	
وتبلغ	وَتَبْلُغُ	وَتَبْلُغُ	
الزيادة	الزِّيَادَةُ	الزِّيَادَةُ	
40	40	40	
%	%	%	
على	عَلَى	عَلَى	
أول	أَوَّلِ	أَوَّلِ	
عشرة	عَشَرَةِ	عَشَرَةِ	
آلاف	آلَافِ	آلَافِ	
ليرة	لِيرَةَ	لِيرَةَ	
سورية	سُورِيَّةٍ	سُورِيَّةٍ	
و	وَ	وَ	
20	20	20	
%	%	%	
على	عَلَى	عَلَى	
عشرة	عَشَرَةِ	عَشَرَةِ	
الآلاف	الْآلَافِ	الْآلَافِ	
التالية	التَّالِيَةِ	التَّالِيَةِ	
ثم	ثُمَّ	ثُمَّ	
10	10	10	
%	%	%	
على	عَلَى	عَلَى	
العشرة	الْعَشَرَةِ	الْعَشَرَةِ	
الثالثة	الثَّالِثَةِ	الثَّالِثَةِ	
و	وَ	وَ	
5	5	5	
%	%	%	
على	عَلَى	عَلَى	
ما	مَا	مَا	
يفوق	يَفُوقُ	يَفُوقُ	
ذلك	ذَلِكَ	ذَٰلِكَ	
.	.	.	
			
بينما	بَيْنَمَا	بَيْنَمَا	
يرفع	يَرْفَعُ	يَرْفَعُ	
المرسوم	الْمَرْسُومُ	الْمَرْسُومُ	
التشريعي	التَّشْرِيعِيُّ	التَّشْرِيعِيُّ	
رقم	رَقْمُ	رَقْمُ	
39	39	39	
لعام	لِعَامِ	لِعَامِ	
2013	2013	2013	
معاشات	مَعَاشَاتِ	مَعَاشَاتِ	
المتقاعدين	الْمُتَقَاعِدِينَ	الْمُتَقَاعِدِينَ	
25	25	25	
%	%	%	
على	عَلَى	عَلَى	
أول	أَوَّلِ	أَوَّلِ	
عشرة	عَشَرَةِ	عَشَرَةِ	
آلاف	آلَافِ	آلَافِ	
ليرة	لِيرَةَ	لِيرَةَ	
و	وَ	وَ	
20	20	20	
%	%	%	
على	عَلَى	عَلَى	
العشرة	الْعَشَرَةِ	الْعَشَرَةِ	
الثانية	الثَّانِيَةِ	الثَّانِيَةِ	
و	وَ	وَ	
10	10	10	
%	%	%	
على	عَلَى	عَلَى	
ما	مَا	مَا	
يفوق	يَفُوقُ	يَفُوقُ	
ذلك	ذَلِكَ	ذَٰلِكَ	
،	،	،	
ويسري	وَيَسْرِي	وَيَسْرِي	
على	عَلَى	عَلَى	
جميع	جَمِيعِ	جَمِيعِ	
المتقاعدين	الْمُتَقَاعِدِينَ	الْمُتَقَاعِدِينَ	
"	"	"	
من	مِنْ	مِنَ	
العسكريين	الْعَسْكَرِيِّينَ	الْعَسْكَرِيِّينَ	
والمدنيين	وَالْمَدَنِيِّينَ	وَالْمَدَنِيِّينَ	
المشمولين	الْمَشْمُولِينَ	الْمَشْمُولِينَ	
بأي	بِأَيٍّ	بِأَيٍّ	
من	مِنْ	مِنْ	
قوانين	قَوَانِينِ	قَوَانِينِ	
وأنظمة	وَأَنْظِمَةِ	وَأَنْظِمَةِ	
التقاعد	التَّقَاعُدِ	التَّقَاعُدِ	
والتأمين	وَالتَّأْمِينِ	وَالتَّأْمِينِ	
والمعاشات	وَالْمَعَاشَاتِ	وَالْمَعَاشَاتِ	
والتأمينات	وَالتَّأْمِينَاتِ	وَالتَّأْمِينَاتِ	
الاجتماعية	الِاجْتِمَاعِيَّةِ	الِاجْتِمَاعِيَّةِ	
النافذة	النَّافِذَةِ	النَّافِذَةِ	
"	"	"	
.	.	.	
			
تشهد	تَشْهَدُ	تَشْهَدُ	
سوريا	سُورْيَا	سُورْيَا	سُورِيَا
ارتفاعا	ارْتِفَاعًا	ارْتِفَاعًا	
هائلا	هَائِلًا	هَائِلًا	
لأسعار	لِأَسْعَارِ	لِأَسْعَارِ	
السلع	السِّلَعِ	السِّلَعِ	
الاستهلاكية	الِاسْتِهْلَاكِيَّةِ	الِاسْتِهْلَاكِيَّةِ	
في	فِي	فِي	
الفترة	الْفَتْرَةِ	الْفَتْرَةِ	
الماضية	الْمَاضِيَةِ	الْمَاضِيَةِ	
،	،	،	
لا	لَا	لَا	
سيما	سِيَّمَا	سِيَّمَا	
بعد	بَعْدَ	بَعْدَ	
هبوط	هُبُوطٍ	هُبُوطٍ	
مفاجئ	مُفَاجِئٍ	مُفَاجِئٍ	
في	فِي	فِي	
سعر	سِعْرِ	سِعْرِ	
صرف	صَرْفِ	صَرْفِ	
الليرة	اللِّيرَةِ	اللِّيرَةِ	
السورية	السُّورِيَّةِ	السُّورِيَّةِ	
إلى	إِلَى	إِلَى	
حوالي	حَوَالَيْ	حَوَالَيْ	
نصف	نِصْفِ	نِصْفِ	
قيمتها	قِيمَتِهَا	قِيمَتِهَا	
مقارنة	مُقَارَنَةً	مُقَارَنَةً	
بالسنة	بِالسَّنَةِ	بِالسَّنَةِ	
الماضية	الْمَاضِيَةِ	الْمَاضِيَةِ	
وربع	وَرُبْعِ	وَرُبْعِ	وَرُبُعِ
قيمتها	قِيمَتِهَا	قِيمَتِهَا	
قبل	قَبْلَ	قَبْلَ	
الأزمة	الْأَزْمَةِ	الْأَزْمَةِ	
،	،	،	
ما	مَا	مَا	
أدى	أَدَّى	أَدَّى	
إلى	إِلَى	إِلَى	
انخفاض	انْخِفَاضٍ	انْخِفَاضٍ	
ملحوظ	مَلْحُوظٍ	مَلْحُوظٍ	
في	فِي	فِي	
مستوى	مُسْتَوَى	مُسْتَوَى	
المعيشة	الْمَعِيشَةِ	الْمَعِيشَةِ	
.	.	.	
وكانت	وَكَانَتْ	وَكَانَتِ	
الزيادة	الزِّيَادَةُ	الزِّيَادَةُ	
الماضية	الْمَاضِيَةُ	الْمَاضِيَةُ	
للرواتب	لِلرَّوَاتِبِ	لِلرَّوَاتِبِ	
في	فِي	فِي	
سوريا	سُورْيَا	سُورْيَا	سُورِيَا
في	فِي	فِي	
24	24	24	
مارس	مَارِسَ	مَارِسَ	
2011	2011	2011	
،	،	،	
بعد	بَعْدَ	بَعْدَ	
أيام	أَيَّامٍ	أَيَّامٍ	
من	مِنْ	مِنْ	
بداية	بِدَايَةِ	بِدَايَةِ	
الأزمة	الْأَزْمَةِ	الْأَزْمَةِ	
السورية	السُّورِيَّةِ	السُّورِيَّةِ	
.	.	.	
			
اليسار	الْيَسَارُ	اَلْيَسَارُ	
الديمقراطي	الدِّيمُقْرَاطِيُّ	الدِّيمُقْرَاطِيُّ	
ينسحب	يَنْسَحِبُ	يَنْسَحِبُ	
من	مِنْ	مِنَ	
الائتلاف	الِائْتِلَافِ	الِائْتِلَافِ	
الحكومي	الْحُكُومِيِّ	الْحُكُومِيِّ	
بعد	بَعْدَ	بَعْدَ	
فشل	فَشَلِ	فَشَلِ	
المحادثات	الْمُحَادَثَاتِ	الْمُحَادَثَاتِ	
حول	حَوْلَ	حَوْلَ	
الراديو	الرَّادْيُو	الرَّادْيُو	الرَّادِيُو
والتلفزيون	وَالتِّلِفِزْيُونِ	وَالتِّلِفِزْيُونِ	وَالتِّلْفِزْيُونِ
الوطني	الْوَطَنِيِّ	الْوَطَنِيِّ	
اليوناني	الْيُونَانِيِّ	الْيُونَانِيِّ	
			
قرر	قَرَّرَ	قَرَّرَ	
حزب	حِزْبُ	حِزْبُ	
اليسار	الْيَسَارِ	الْيَسَارِ	
الديمقراطي	الدِّيمُقْرَاطِيُّ	الدِّيمُقْرَاطِيُّ	
(	(	(	
ديمار	دِيمَارْ	دِيمَارْ	
)	)	)	
في	فِي	فِي	
اليونان	الْيُونَانِ	الْيُونَانِ	
اليوم	الْيَوْمَ	الْيَوْمَ	
الانسحاب	الِانْسِحَابَ	الِانْسِحَابَ	
من	مِنْ	مِنَ	
الائتلاف	الِائْتِلَافِ	الِائْتِلَافِ	
الحكومي	الْحُكُومِيِّ	الْحُكُومِيِّ	
بقيادة	بِقِيَادَةِ	بِقِيَادَةِ	
رئيس	رَئِيسِ	رَئِيسِ	
الوزراء	الْوُزَرَاءِ	الْوُزَرَاءِ	
أنتونيس	أَنْتُونِيسْ	أَنْتُونِيسْ	
ساماراس	سَامَارَاسْ	سَامَارَاسْ	
بعد	بَعْدَ	بَعْدَ	
فشل	فَشَلِ	فَشَلِ	
عدة	عِدَّةِ	عِدَّةِ	
جولات	جَوْلَاتٍ	جَوْلَاتٍ	
من	مِنْ	مِنَ	
المحادثات	الْمُحَادَثَاتِ	الْمُحَادَثَاتِ	
حول	حَوْلَ	حَوْلَ	
الإغلاق	الْإِغْلَاقِ	الْإِغْلَاقِ	
المفاجئ	الْمُفَاجِئِ	الْمُفَاجِئِ	
لمؤسسة	لِمُؤَسَّسَةِ	لِمُؤَسَّسَةِ	
الإذاعة	الْإِذَاعَةِ	الْإِذَاعَةِ	
والتلفزيون	وَالتِّلِفِزْيُونِ	وَالتِّلِفِزْيُونِ	وَالتِّلْفِزْيُونِ
اليونانية	الْيُونَانِيَّةِ	الْيُونَانِيَّةِ	
منذ	مُنْذُ	مُنْذُ	
عشرة	عَشَرَةِ	عَشَرَةِ	
أيام	أَيَّامٍ	أَيَّامٍ	
.	.	.	
ويحافظ	وَيُحَافِظُ	وَيُحَافِظُ	
الائتلاف	الِائْتِلَافُ	الِائْتِلَافُ	
من	مِنْ	مِنَ	
الحزبين	الْحِزْبَيْنِ	الْحِزْبَيْنِ	
المتبقيين	الْمُتَبَقِّيَيْنِ	الْمُتَبَقِّيَيْنِ	
،	،	،	
"	"	"	
الديمقراطية	الدِّيمُقْرَاطِيَّةِ	اَلدِّيمُقْرَاطِيَّةِ	
الجديدة	الْجَدِيدَةِ	الْجَدِيدَةِ	
"	"	"	
و	وَ	وَ	
"	"	"	
باسوك	بَاسُوكْ	بَاسُوكْ	
"	"	"	
،	،	،	
على	عَلَى	عَلَى	
الأغلبية	الْأَغْلَبِيَّةِ	الْأَغْلَبِيَّةِ	
المطلقة	الْمُطْلَقَةِ	الْمُطْلَقَةِ	
في	فِي	فِي	
البرلمان	الْبَرْلَمَانِ	الْبَرْلَمَانِ	
،	،	،	
لكنها	لَكِنَّهَا	لَكِنَّهَا	
تصبح	تُصْبِحُ	تُصْبِحُ	
هامشية	هَامِشِيَّةً	هَامِشِيَّةً	
بعد	بَعْدَ	بَعْدَ	
انسحاب	انْسِحَابِ	انْسِحَابِ	
14	14	14	
نائبا	نَائِبًا	نَائِبًا	
من	مِنْ	مِنَ	
الائتلاف	الِائْتِلَافِ	الِائْتِلَافِ	
.	.	.	
			
تقرر	تَقَرَّرَ	تَقَرَّرَ	
الانسحاب	الِانْسِحَابُ	الِانْسِحَابُ	
اليوم	الْيَوْمَ	الْيَوْمَ	
بعد	بَعْدَ	بَعْدَ	
اجتماع	اجْتِمَاعِ	اجْتِمَاعِ	
نواب	نُوَّابِ	نُوَّابِ	
"	"	"	
اليسار	الْيَسَارِ	اَلْيَسَارِ	
الديمقراطي	الدِّيمُقْرَاطِيِّ	الدِّيمُقْرَاطِيِّ	
"	"	"	
،	،	،	
لكن	لَكِنَّ	لَكِنَّ	
الحزب	الْحِزْبَ	الْحِزْبَ	
سيبقى	سَيَبْقَى	سَيَبْقَى	
يدعم	يَدْعَمُ	يَدْعَمُ	
الأغلبية	الْأَغْلَبِيَّةَ	الْأَغْلَبِيَّةَ	
.	.	.	
وقال	وَقَالَ	وَقَالَ	
وزير	وَزِيرُ	وَزِيرُ	
الإصلاح	الْإِصْلَاحِ	الْإِصْلَاحِ	
الإداري	الْإِدَارِيُّ	الْإِدَارِيُّ	
اليوناني	الْيُونَانِيُّ	الْيُونَانِيُّ	
أنتونيس	أَنْتُونِيسْ	أَنْتُونِيسْ	
مانيتاكيس	مَانِيتَاكِيسْ	مَانِيتَاكِيسْ	
إنه	إِنَّهُ	إِنَّهُ	
سيقدم	سَيُقَدِّمُ	سَيُقَدِّمُ	
استقالته	اسْتِقَالَتَهُ	اسْتِقَالَتَهُ	
من	مِنْ	مِنْ	
منصبه	مَنْصِبِهِ	مَنْصِبِهِ	
إلى	إِلَى	إِلَى	
رئيس	رَئِيسِ	رَئِيسِ	
الوزراء	الْوُزَرَاءِ	الْوُزَرَاءِ	
.	.	.	
ويأتي	وَيَأْتِي	وَيَأْتِي	
القرار	الْقَرَارُ	الْقَرَارُ	
بعد	بَعْدَ	بَعْدَ	
فشل	فَشَلِ	فَشَلِ	
عدة	عِدَّةِ	عِدَّةِ	
جولات	جَوْلَاتٍ	جَوْلَاتٍ	
من	مِنْ	مِنَ	
المحادثات	الْمُحَادَثَاتِ	الْمُحَادَثَاتِ	
بين	بَيْنَ	بَيْنَ	
رئيس	رَئِيسِ	رَئِيسِ	
الوزراء	الْوُزَرَاءِ	الْوُزَرَاءِ	
وزعيم	وَزَعِيمِ	وَزَعِيمِ	
"	"	"	
الديمقراطية	الدِّيمُقْرَاطِيَّةِ	اَلدِّيمُقْرَاطِيَّةِ	
الجديدة	الْجَدِيدَةِ	الْجَدِيدَةِ	
"	"	"	
اليميني	الْيَمِينِيِّ	اَلْيَمِينِيِّ	
أنتونيس	أَنْتُونِيسْ	أَنْتُونِيسْ	
ساماراس	سَامَارَاسْ	سَامَارَاسْ	
ورئيسي	وَرَئِيسَيْ	وَرَئِيسَيْ	
الحزبين	الْحِزْبَيْنِ	الْحِزْبَيْنِ	
الآخرين	الْآخَرَيْنِ	الْآخَرَيْنِ	
في	فِي	فِي	
الائتلاف	الِائْتِلَافِ	الِائْتِلَافِ	
،	،	،	
إيفانغيلينوس	إِيفَانْغِيلِينُوسْ	إِيفَانْغِيلِينُوسْ	
فينيزيلوس	فِينِيزِيلُوسْ	فِينِيزِيلُوسْ	
رئيس	رَئِيسِ	رَئِيسِ	
"	"	"	
الحركة	الْحَرَكَةِ	اَلْحَرَكَةِ	
الاشتراكية	الِاشْتِرَاكِيَّةِ	الِاشْتِرَاكِيَّةِ	
اليونانية	الْيُونَانِيَّةِ	الْيُونَانِيَّةِ	
"	"	"	
(	(	(	
باسوك	بَاسُوكْ	بَاسُوكْ	
)	)	)	
وفوتيس	وَفُوتِيسْ	وَفُوتِيسْ	
كوفيليس	كُوفِيلِيسْ	كُوفِيلِيسْ	
رئيس	رَئِيسِ	رَئِيسِ	
"	"	"	
اليسار	الْيَسَارِ	اَلْيَسَارِ	
الديمقراطي	الدِّيمُقْرَاطِيِّ	الدِّيمُقْرَاطِيِّ	
"	"	"	
(	(	(	
ديمار	دِيمَارْ	دِيمَارْ	
)	)	)	
.	.	.	
			
أثار	أَثَارَ	أَثَارَ	
الخلاف	الْخِلَافُ	الْخِلَافُ	
حول	حَوْلَ	حَوْلَ	
إغلاق	إِغْلَاقِ	إِغْلَاقِ	
مؤسسة	مُؤَسَّسَةِ	مُؤَسَّسَةِ	
الإذاعة	الْإِذَاعَةِ	الْإِذَاعَةِ	
والتلفزيون	وَالتِّلِفِزْيُونِ	وَالتِّلِفِزْيُونِ	وَالتِّلْفِزْيُونِ
العامة	الْعَامَّةِ	الْعَامَّةِ	
احتجاجات	احْتِجَاجَاتٍ	احْتِجَاجَاتٍ	
واسعة	وَاسِعَةً	وَاسِعَةً	
في	فِي	فِي	
أنحاء	أَنْحَاءِ	أَنْحَاءِ	
اليونان	الْيُونَانِ	الْيُونَانِ	
ووضع	وَوَضَعَ	وَوَضَعَ	
مصير	مَصِيرَ	مَصِيرَ	
الائتلاف	الِائْتِلَافِ	الِائْتِلَافِ	
